effect,component,group,term,estimate,std.error,statistic,p.value,lg.grp.ref,model
fixed,cond,NA,SpkrTypeChild:group_corpYDArg_Spanish,0.37937397303172665,0.24138587039989326,1.5716494606881282,0.11603186902365291,Yélî Dnye,ADS_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpYDTseltal,-0.17267725455215863,0.30051927617093,-0.5745962680075899,0.5655643766327155,Yélî Dnye,ADS_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpYDTseltal,0.5916999911253643,0.25671119993741986,2.304924721903862,0.02117078977455542,Yélî Dnye,ADS_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpYDNA_English,0.10651418353448514,0.16741161074520175,0.636241316001662,0.5246191477663857,Yélî Dnye,ADS_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpYDUK_English,0.12159952340306404,0.24747065795495965,0.49136945934493576,0.6231651608882892,Yélî Dnye,ADS_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpYDArg_Spanish,0.20459243272462405,0.2407421695311865,0.8498404459968136,0.3954137994633707,Yélî Dnye,ADS_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpYDTseltal,0.3745966387148362,0.15444237535905833,2.425478356208573,0.015288227331790683,Yélî Dnye,ADS_random_z-inb
fixed,zi,NA,(Intercept),-18.099983645982743,4444.639114302093,-0.004072317949896106,0.9967507693618508,Yélî Dnye,ADS_random_z-inb
fixed,zi,NA,group_corpYDNA_English,1.452321741156522,4805.430869684965,3.0222508252454236e-4,0.9997588592764373,Yélî Dnye,ADS_random_z-inb
fixed,zi,NA,group_corpYDUK_English,-4.613965845882912,29083.798435996043,-1.586438530729315e-4,0.9998734205194978,Yélî Dnye,ADS_random_z-inb
fixed,zi,NA,group_corpYDArg_Spanish,16.051735634666276,4444.639125113975,0.0036114823234956466,0.997118460276365,Yélî Dnye,ADS_random_z-inb
fixed,zi,NA,group_corpYDTseltal,-0.920274582135644,7749.293228287663,-1.187559374803777e-4,0.9999052464712035,Yélî Dnye,ADS_random_z-inb
ran_pars,cond,aclew_child_id,sd__(Intercept),0.3516495266180783,NA,NA,NA,Yélî Dnye,ADS_random_z-inb
