aclew_child_id,group_corp,group_corpNE,corp,segment,age_mo_round,tchiyr.m,tchiyr.sd,n_spkrs_clip,tds_mph,cds_mph,ads_mph
1768,UK_English,UK_English,ROW,8,21,13.928571428571429,8.62473932153252,0,0,0,0
1768,UK_English,UK_English,ROW,9,21,13.928571428571429,8.62473932153252,2,0.5399999999999999,0.5399999999999999,6.090000000000001
1844,NA_English,NA_English,BER,1,10,13.928571428571429,8.62473932153252,1,19.05,19.05,0.99
1844,NA_English,NA_English,BER,10,10,13.928571428571429,8.62473932153252,0,0,0,0
1844,NA_English,NA_English,BER,11,10,13.928571428571429,8.62473932153252,2,7.109999999999999,7.109999999999999,4.83
1844,NA_English,NA_English,BER,12,10,13.928571428571429,8.62473932153252,0,0,0,0
1844,NA_English,NA_English,BER,13,10,13.928571428571429,8.62473932153252,2,7.23,7.23,12.63
1844,NA_English,NA_English,BER,14,10,13.928571428571429,8.62473932153252,2,15.27,15.27,5.82
1844,NA_English,NA_English,BER,15,10,13.928571428571429,8.62473932153252,1,7.109999999999999,7.109999999999999,0
1844,NA_English,NA_English,BER,2,10,13.928571428571429,8.62473932153252,2,3.81,3.81,7.0200000000000005
1844,NA_English,NA_English,BER,3,10,13.928571428571429,8.62473932153252,2,4.35,4.35,0
1844,NA_English,NA_English,BER,4,10,13.928571428571429,8.62473932153252,2,12.3,12.3,7.74
1844,NA_English,NA_English,BER,5,10,13.928571428571429,8.62473932153252,4,15.84,15.84,22.17
1844,NA_English,NA_English,BER,6,10,13.928571428571429,8.62473932153252,0,0,0,0
1844,NA_English,NA_English,BER,7,10,13.928571428571429,8.62473932153252,3,10.41,10.41,14.16
1844,NA_English,NA_English,BER,8,10,13.928571428571429,8.62473932153252,3,0,0,11.73
1844,NA_English,NA_English,BER,9,10,13.928571428571429,8.62473932153252,2,5.04,5.04,15.84
2109,Tseltal,Tseltal,CAS,random-1,7,13.928571428571429,8.62473932153252,1,3.912,3.912,0
2109,Tseltal,Tseltal,CAS,random-2,7,13.928571428571429,8.62473932153252,1,11.268,11.268,0
2109,Tseltal,Tseltal,CAS,random-3,7,13.928571428571429,8.62473932153252,0,0,0,0
2109,Tseltal,Tseltal,CAS,random-4,7,13.928571428571429,8.62473932153252,0,0,0,0
