aclew_child_id,corp,group_corp,group_corpNE,language,child_sex,age_mo_round,m_n_spkrs,tds_min,ocds_min,cds_min,ads_min,tds_mph,ocds_mph,cds_mph,ads_mph
5750,BER,"NA_English","NA_English",English,F,7,2.3333333333333335,0.0534,0.169,0.169,0.3907333333333333,1.602,3.464,5.07,11.722
5959,WAR,"NA_English","NA_English",English,M,9,1.0666666666666669,0.10813333333333332,0.1088,0.1088,0.2524666666666667,3.244,0.02,3.264,7.574
6026,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,27,5.666666666666667,0.31253333333333333,0.49573333333333336,0.49573333333333336,0.4528,9.376,5.494,14.872,13.584
6035,BER,"NA_English","NA_English",English,F,12,1.6,0.11233333333333334,0.12826666666666667,0.12826666666666667,0.376,3.37,0.478,3.848,11.28
6216,CAS,Tseltal,Tseltal,Tseltal,F,27,2.2222222222222223,0.5454444444444445,0.5536666666666666,0.5536666666666666,0.6947777777777777,6.545333333333334,0.09866666666666664,6.644,8.337333333333333
6934,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,17,6.111111111111111,0.06566666666666666,0.7958888888888889,0.7958888888888889,0.4713333333333333,1.5759999999999998,17.525333333333332,19.101333333333333,11.312
7176,CAS,Tseltal,Tseltal,Tseltal,M,4,2.5555555555555554,0.09055555555555556,0.48433333333333334,0.48433333333333334,0.6965555555555555,1.0866666666666664,4.724,5.811999999999999,8.358666666666666
7220,CAS,Tseltal,Tseltal,Tseltal,F,22,4.777777777777778,0.4832222222222222,0.9955555555555556,0.9955555555555556,2.756555555555555,5.798666666666667,6.148000000000001,11.946666666666667,33.07866666666666
7326,CAS,Tseltal,Tseltal,Tseltal,M,14,2.7777777777777777,0.4113333333333334,0.5631111111111111,0.5631111111111111,0.7801111111111112,4.936,1.8186666666666669,6.757333333333333,9.361333333333334
7758,BER,"NA_English","NA_English",English,M,17,0.5333333333333333,0.12433333333333332,0.12433333333333332,0.12433333333333332,0.03326666666666667,3.729999999999999,0,3.729999999999999,0.998
7798,ROW,UK_English,UK_English,British English,M,11,2,0.16726666666666667,0.16726666666666667,0.16726666666666667,0.3197333333333333,5.018,0,5.018,9.592
7903,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,18,2.066666666666667,0.09353333333333332,0.15226666666666666,0.15226666666666666,0.32193333333333335,2.806,1.758,4.568,9.658
8018,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,F,9,6.555555555555555,0.08822222222222223,0.4615555555555555,0.4615555555555555,0.954,2.1173333333333333,8.957333333333333,11.077333333333334,22.896
8179,CAS,Tseltal,Tseltal,Tseltal,F,6,7.555555555555555,0.14833333333333334,0.8717777777777778,0.8717777777777778,1.4378888888888888,1.78,8.681333333333333,10.461333333333334,17.254666666666665
