aclew_child_id,corp,group_corp,group_corpNE,language,child_sex,age_mo_round,segment,segment_dur,n_spkrs_clip,tds_min,ocds_min,cds_min,ads_min,tds_mph,ocds_mph,cds_mph,ads_mph,prop_tds,prop_ocds,prop_cds,prop_ads
1130,WAR,"NA_English","NA_English",English,M,9,3,2,3,0,0.223,0.223,0.4,0,6.69,6.69,12,0,0.3579454253611557,0.3579454253611557,0.6420545746388443
1130,WAR,"NA_English","NA_English",English,M,9,4,2,2,0,0.016,0.016,0.179,0,0.48,0.48,5.37,0,0.08205128205128205,0.08205128205128205,0.917948717948718
1130,WAR,"NA_English","NA_English",English,M,9,5,2,1,0,0,0,0.155,0,0,0,4.65,0,0,0,1
1130,WAR,"NA_English","NA_English",English,M,9,6,2,2,0,0.811,0.811,0.388,0,24.33,24.33,11.64,0,0.6763969974979149,0.6763969974979149,0.32360300250208507
1130,WAR,"NA_English","NA_English",English,M,9,7,2,3,0,0.105,0.105,1.076,0,3.15,3.15,32.28,0,0.08890770533446231,0.08890770533446231,0.9110922946655376
1130,WAR,"NA_English","NA_English",English,M,9,8,2,3,0,0.597,0.597,0.511,0,17.91,17.91,15.33,0,0.5388086642599277,0.5388086642599277,0.46119133574007215
1130,WAR,"NA_English","NA_English",English,M,9,9,2,3,0,0,0,1.138,0,0,0,34.14,0,0,0,1
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-1,2.5,8,0.071,0.058,0.128,1.65,1.704,1.392,3.072,39.599999999999994,0.03839913466738778,0.03136830719307734,0.06922660897782586,0.8923742563547864
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-2,2.5,3,0.204,0.114,0.318,0.924,4.896,2.736,7.632000000000001,22.176,0.14107883817427383,0.07883817427385892,0.21991701244813275,0.6390041493775933
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-3,2.5,5,0.035,0.061,0.096,2.201,0.8400000000000001,1.464,2.3040000000000003,52.824000000000005,0.01500857632933104,0.02615780445969124,0.04116638078902229,0.9438250428816466
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-4,2.5,6,0.115,0.234,0.349,0.75,2.76,5.6160000000000005,8.376,18,0.09472817133443164,0.1927512355848435,0.2874794069192751,0.6177924217462932
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-5,2.5,8,0,0,0,3.387,0,0,0,81.288,0,0,0,1
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-6,2.5,7,0.02,0.416,0.436,1.934,0.48,9.984,10.464,46.416,0.00836820083682008,0.17405857740585773,0.1824267782426778,0.8092050209205021
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-7,2.5,4,0.185,0.128,0.313,0.696,4.4399999999999995,3.072,7.512,16.704,0.15494137353433837,0.10720268006700168,0.26214405360134,0.5829145728643216
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-8,2.5,6,0.33,2.568,2.898,0,7.92,61.632000000000005,69.552,0,0.10223048327137546,0.7955390334572491,0.8977695167286245,0
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-9,2.5,7,0.052,0.5,0.552,0.64,1.248,12,13.248,15.36,0.04180064308681671,0.4019292604501607,0.44372990353697744,0.5144694533762058
1156,ROW,UK_English,UK_English,British English,F,25,1,2,2,0.714,0.007,0.721,0.069,21.42,0.21,21.63,2.0700000000000003,0.47473404255319146,0.00465425531914893,0.4793882978723404,0.04587765957446808
1156,ROW,UK_English,UK_English,British English,F,25,10,2,3,0.055,0.039,0.094,0.403,1.65,1.17,2.82,12.09,0.09963768115942027,0.07065217391304347,0.17028985507246375,0.730072463768116
1156,ROW,UK_English,UK_English,British English,F,25,11,2,3,0.472,0.093,0.565,0.013,14.16,2.79,16.95,0.39,0.4495238095238096,0.08857142857142859,0.5380952380952382,0.01238095238095238
1156,ROW,UK_English,UK_English,British English,F,25,12,2,1,0.289,0,0.289,0.026,8.67,0,8.67,0.7799999999999999,0.478476821192053,0,0.478476821192053,0.04304635761589404
1156,ROW,UK_English,UK_English,British English,F,25,13,2,2,0,0.757,0.757,0.336,0,22.71,22.71,10.08,0,0.6925892040256176,0.6925892040256176,0.3074107959743825
1156,ROW,UK_English,UK_English,British English,F,25,14,2,2,0.192,0,0.192,0.147,5.76,0,5.76,4.41,0.36158192090395486,0,0.36158192090395486,0.2768361581920904
1156,ROW,UK_English,UK_English,British English,F,25,15,2,2,0,0.024,0.024,0,0,0.72,0.72,0,0,1,1,0
1156,ROW,UK_English,UK_English,British English,F,25,2,2,1,0.213,0,0.213,0,6.39,0,6.39,0,0.5,0,0.5,0
1156,ROW,UK_English,UK_English,British English,F,25,3,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1156,ROW,UK_English,UK_English,British English,F,25,4,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1156,ROW,UK_English,UK_English,British English,F,25,5,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1156,ROW,UK_English,UK_English,British English,F,25,6,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1156,ROW,UK_English,UK_English,British English,F,25,7,2,2,0.01,0.417,0.427,0.683,0.3,12.51,12.81,20.49,0.00892857142857142,0.3723214285714285,0.38125,0.6098214285714285
1156,ROW,UK_English,UK_English,British English,F,25,8,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1156,ROW,UK_English,UK_English,British English,F,25,9,2,4,0.027,0.035,0.062,1.826,0.8099999999999999,1.05,1.86,54.78,0.01409921671018276,0.01827676240208877,0.03237597911227154,0.9535248041775456
1196,BER,"NA_English","NA_English",English,F,9,1,2,2,0,0.149,0.149,0.421,0,4.47,4.47,12.63,0,0.26140350877192986,0.26140350877192986,0.7385964912280703
1196,BER,"NA_English","NA_English",English,F,9,10,2,2,0.072,0.079,0.15,0.316,2.1599999999999997,2.37,4.5,9.48,0.13382899628252787,0.14684014869888476,0.27881040892193304,0.587360594795539
1196,BER,"NA_English","NA_English",English,F,9,11,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1196,BER,"NA_English","NA_English",English,F,9,12,2,2,0,0,0,0.91,0,0,0,27.3,0,0,0,1
1196,BER,"NA_English","NA_English",English,F,9,13,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1196,BER,"NA_English","NA_English",English,F,9,14,2,2,0,0.028,0.028,0.382,0,0.84,0.84,11.46,0,0.06829268292682926,0.06829268292682926,0.9317073170731708
1196,BER,"NA_English","NA_English",English,F,9,15,2,1,0,0,0,1.178,0,0,0,35.339999999999996,0,0,0,1
1196,BER,"NA_English","NA_English",English,F,9,2,2,2,0,0.156,0.156,0.045,0,4.68,4.68,1.35,0,0.7761194029850745,0.7761194029850745,0.22388059701492535
1196,BER,"NA_English","NA_English",English,F,9,3,2,1,0,0,0,0.013,0,0,0,0.39,0,0,0,1
1196,BER,"NA_English","NA_English",English,F,9,4,2,2,0.027,0.026,0.052,0.018,0.8099999999999999,0.7799999999999999,1.5599999999999998,0.5399999999999999,0.27835051546391754,0.26804123711340205,0.5360824742268041,0.18556701030927833
1196,BER,"NA_English","NA_English",English,F,9,5,2,2,0,0,0,0.133,0,0,0,3.99,0,0,0,1
1196,BER,"NA_English","NA_English",English,F,9,6,2,1,0,0,0,0.071,0,0,0,2.13,0,0,0,1
1196,BER,"NA_English","NA_English",English,F,9,7,2,2,0,0.077,0.077,0.319,0,2.31,2.31,9.57,0,0.1944444444444444,0.1944444444444444,0.8055555555555556
1196,BER,"NA_English","NA_English",English,F,9,8,2,2,0.027,0.087,0.114,0.209,0.8099999999999999,2.61,3.42,6.27,0.07714285714285715,0.24857142857142855,0.32571428571428573,0.5971428571428572
1196,BER,"NA_English","NA_English",English,F,9,9,2,2,0.034,0,0.034,0.383,1.02,0,1.02,11.49,0.0753880266075388,0,0.0753880266075388,0.8492239467849223
1299,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,23,1,2,3,0.062,0,0.062,0.946,1.86,0,1.86,28.38,0.05794392523364485,0,0.05794392523364485,0.8841121495327102
1299,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,23,10,2,4,0.174,0.192,0.366,0.211,5.22,5.76,10.98,6.33,0.23169107856191745,0.255659121171771,0.4873501997336884,0.2809587217043941
1299,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,23,11,2,3,0.135,0.018,0.153,1.508,4.050000000000001,0.5399999999999999,4.59,45.24,0.07516703786191536,0.01002227171492204,0.08518930957683742,0.8396436525612472
1299,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,23,12,2,1,0.096,0,0.096,0,2.88,0,2.88,0,0.5,0,0.5,0
1299,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,23,13,2,5,0.177,0,0.177,0.13,5.31,0,5.31,3.9,0.365702479338843,0,0.365702479338843,0.26859504132231404
1299,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,23,14,2,3,0,0,0,0.263,0,0,0,7.890000000000001,0,0,0,1
1299,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,23,15,2,4,0.019,0.061,0.08,0.107,0.57,1.83,2.4,3.21,0.09223300970873784,0.2961165048543689,0.3883495145631068,0.5194174757281553
1299,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,23,2,2,4,0.017,0.092,0.109,0.887,0.51,2.76,3.27,26.61,0.01678183613030602,0.0908193484698914,0.10760118460019742,0.8756169792694964
1299,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,23,3,2,2,0.27,0.05,0.32,0,8.100000000000001,1.5,9.6,0,0.45762711864406774,0.0847457627118644,0.5423728813559321,0
1299,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,23,4,2,5,0.158,0.178,0.336,0.409,4.74,5.34,10.08,12.27,0.17497231450719822,0.1971207087486157,0.3720930232558139,0.45293466223698775
1299,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,23,5,2,7,0.113,0.447,0.561,0.06,3.39,13.41,16.830000000000002,1.7999999999999998,0.1539509536784741,0.6089918256130791,0.7643051771117167,0.08174386920980926
1299,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,23,6,2,3,0.126,0,0.126,0.029,3.78,0,3.78,0.87,0.44839857651245546,0,0.44839857651245546,0.10320284697508895
1299,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,23,7,2,3,0,0.088,0.088,1.39,0,2.6399999999999997,2.6399999999999997,41.7,0,0.05953991880920162,0.05953991880920162,0.9404600811907984
1299,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,23,8,2,5,0.051,0.312,0.363,1.187,1.5299999999999998,9.36,10.89,35.61,0.03185509056839475,0.19487820112429732,0.22673329169269207,0.7414116177389132
1299,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,23,9,2,6,0,0.435,0.435,0.651,0,13.05,13.05,19.53,0,0.4005524861878453,0.4005524861878453,0.5994475138121547
1499,SOD,"NA_English","NA_English",French,F,32,1,2,5,0.198,0.298,0.496,0.041,5.94,8.94,14.88,1.23,0.2693877551020408,0.4054421768707483,0.6748299319727892,0.05578231292517007
1499,SOD,"NA_English","NA_English",French,F,32,10,2,3,0.026,0.024,0.05,0,0.7799999999999999,0.72,1.5,0,0.34210526315789475,0.31578947368421056,0.6578947368421053,0
1499,SOD,"NA_English","NA_English",French,F,32,11,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1499,SOD,"NA_English","NA_English",French,F,32,12,2,5,0.338,0.133,0.471,0.122,10.14,3.99,14.13,3.66,0.3630504833512352,0.14285714285714285,0.505907626208378,0.1310418904403867
1499,SOD,"NA_English","NA_English",French,F,32,13,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1499,SOD,"NA_English","NA_English",French,F,32,14,2,6,0.231,0.056,0.287,0,6.930000000000001,1.68,8.61,0,0.44594594594594594,0.1081081081081081,0.554054054054054,0
1499,SOD,"NA_English","NA_English",French,F,32,15,2,2,0.112,0,0.112,0,3.36,0,3.36,0,0.5,0,0.5,0
1499,SOD,"NA_English","NA_English",French,F,32,2,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1499,SOD,"NA_English","NA_English",French,F,32,3,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1499,SOD,"NA_English","NA_English",French,F,32,4,2,10,0.246,0.124,0.369,0.047,7.38,3.72,11.07,1.41,0.3716012084592145,0.18731117824773416,0.5574018126888218,0.07099697885196375
1499,SOD,"NA_English","NA_English",French,F,32,5,2,8,0.135,0.164,0.3,0.095,4.050000000000001,4.92,9,2.85,0.25471698113207547,0.30943396226415093,0.5660377358490566,0.1792452830188679
1499,SOD,"NA_English","NA_English",French,F,32,6,2,5,0.043,0.125,0.168,0.07,1.2899999999999998,3.75,5.04,2.1,0.15302491103202845,0.4448398576512455,0.597864768683274,0.2491103202846975
1499,SOD,"NA_English","NA_English",French,F,32,7,2,11,0,0.232,0.232,0.341,0,6.96,6.96,10.23,0,0.40488656195462475,0.40488656195462475,0.5951134380453752
1499,SOD,"NA_English","NA_English",French,F,32,8,2,4,0.035,0.083,0.118,0.064,1.05,2.49,3.54,1.92,0.16129032258064518,0.3824884792626728,0.543778801843318,0.29493087557603687
1499,SOD,"NA_English","NA_English",French,F,32,9,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1618,BER,"NA_English","NA_English",English,M,7,1,2,2,0.107,0.183,0.29,0.343,3.21,5.49,8.7,10.29,0.1445945945945946,0.2472972972972973,0.3918918918918919,0.4635135135135135
1618,BER,"NA_English","NA_English",English,M,7,10,2,5,0.354,0.166,0.52,0.596,10.62,4.98,15.6,17.88,0.24081632653061225,0.1129251700680272,0.35374149659863946,0.4054421768707483
1618,BER,"NA_English","NA_English",English,M,7,11,2,2,0.256,0.141,0.397,0.233,7.68,4.2299999999999995,11.91,6.99,0.28893905191873587,0.15914221218961624,0.44808126410835214,0.262979683972912
1618,BER,"NA_English","NA_English",English,M,7,12,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1618,BER,"NA_English","NA_English",English,M,7,13,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1618,BER,"NA_English","NA_English",English,M,7,14,2,4,0.101,0.307,0.408,1.241,3.03,9.21,12.239999999999998,37.23,0.05771428571428572,0.17542857142857143,0.23314285714285712,0.7091428571428572
1618,BER,"NA_English","NA_English",English,M,7,15,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1618,BER,"NA_English","NA_English",English,M,7,2,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1618,BER,"NA_English","NA_English",English,M,7,3,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1618,BER,"NA_English","NA_English",English,M,7,4,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1618,BER,"NA_English","NA_English",English,M,7,5,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
