aclew_child_id,group_corp,group_corpNE,corp,segment,age_mo_round,tchiyr.m,tchiyr.sd,n_spkrs_clip.st,SpkrType,tds_mph.st,cds_mph.st,ads_mph.st
0790,Arg_Spanish,Arg_Spanish,ROS,7,12,13.928571428571429,8.62473932153252,2,Woman,0,0,40.11
0790,Arg_Spanish,Arg_Spanish,ROS,8,12,13.928571428571429,8.62473932153252,0,Child,0,0,0
0790,Arg_Spanish,Arg_Spanish,ROS,8,12,13.928571428571429,8.62473932153252,1,Man,10.59,10.59,0
0790,Arg_Spanish,Arg_Spanish,ROS,8,12,13.928571428571429,8.62473932153252,0,Woman,0,0,0
0790,Arg_Spanish,Arg_Spanish,ROS,9,12,13.928571428571429,8.62473932153252,0,Child,0,0,0
0790,Arg_Spanish,Arg_Spanish,ROS,9,12,13.928571428571429,8.62473932153252,0,Man,0,0,0
0790,Arg_Spanish,Arg_Spanish,ROS,9,12,13.928571428571429,8.62473932153252,1,Woman,10.59,10.59,0
1130,NA_English,NA_English,WAR,1,9,13.928571428571429,8.62473932153252,1,Child,0,0,3.5999999999999996
1130,NA_English,NA_English,WAR,1,9,13.928571428571429,8.62473932153252,1,Man,0,0.3,0
1130,NA_English,NA_English,WAR,1,9,13.928571428571429,8.62473932153252,1,Woman,0,4.59,0.99
1130,NA_English,NA_English,WAR,10,9,13.928571428571429,8.62473932153252,0,Child,0,0,0
1130,NA_English,NA_English,WAR,10,9,13.928571428571429,8.62473932153252,2,Man,0,0.75,5.61
1130,NA_English,NA_English,WAR,10,9,13.928571428571429,8.62473932153252,2,Woman,0,0,4.38
1130,NA_English,NA_English,WAR,11,9,13.928571428571429,8.62473932153252,1,Child,0,0,3.69
1130,NA_English,NA_English,WAR,11,9,13.928571428571429,8.62473932153252,1,Man,0,0.87,0
1130,NA_English,NA_English,WAR,11,9,13.928571428571429,8.62473932153252,0,Woman,0,0,0
1130,NA_English,NA_English,WAR,12,9,13.928571428571429,8.62473932153252,1,Child,0,0,1.5599999999999998
1130,NA_English,NA_English,WAR,12,9,13.928571428571429,8.62473932153252,2,Man,0,0.26999999999999996,3.36
1130,NA_English,NA_English,WAR,12,9,13.928571428571429,8.62473932153252,1,Woman,0,2.01,5.130000000000001
1130,NA_English,NA_English,WAR,13,9,13.928571428571429,8.62473932153252,1,Child,0,0,11.76
1130,NA_English,NA_English,WAR,13,9,13.928571428571429,8.62473932153252,1,Man,0,6.0600000000000005,0.3
1130,NA_English,NA_English,WAR,13,9,13.928571428571429,8.62473932153252,1,Woman,0,1.74,1.98
1130,NA_English,NA_English,WAR,14,9,13.928571428571429,8.62473932153252,1,Child,0,0,11.16
1130,NA_English,NA_English,WAR,14,9,13.928571428571429,8.62473932153252,1,Man,0,1.77,0
1130,NA_English,NA_English,WAR,14,9,13.928571428571429,8.62473932153252,0,Woman,0,0,0
1130,NA_English,NA_English,WAR,15,9,13.928571428571429,8.62473932153252,1,Child,0,0,11.85
1130,NA_English,NA_English,WAR,15,9,13.928571428571429,8.62473932153252,1,Man,0,5.22,0
1130,NA_English,NA_English,WAR,15,9,13.928571428571429,8.62473932153252,0,Woman,0,0,0
1130,NA_English,NA_English,WAR,2,9,13.928571428571429,8.62473932153252,1,Child,0,0,2.22
1130,NA_English,NA_English,WAR,2,9,13.928571428571429,8.62473932153252,1,Man,0,1.35,3.1799999999999997
1130,NA_English,NA_English,WAR,2,9,13.928571428571429,8.62473932153252,1,Woman,0,4.95,4.0200000000000005
1130,NA_English,NA_English,WAR,3,9,13.928571428571429,8.62473932153252,1,Child,0,0,9.57
1130,NA_English,NA_English,WAR,3,9,13.928571428571429,8.62473932153252,1,Man,0,3.21,1.23
1130,NA_English,NA_English,WAR,3,9,13.928571428571429,8.62473932153252,1,Woman,0,3.48,1.23
1130,NA_English,NA_English,WAR,4,9,13.928571428571429,8.62473932153252,1,Child,0,0,5.37
1130,NA_English,NA_English,WAR,4,9,13.928571428571429,8.62473932153252,1,Man,0,0.48,0
1130,NA_English,NA_English,WAR,4,9,13.928571428571429,8.62473932153252,0,Woman,0,0,0
1130,NA_English,NA_English,WAR,5,9,13.928571428571429,8.62473932153252,1,Child,0,0,4.65
1130,NA_English,NA_English,WAR,5,9,13.928571428571429,8.62473932153252,0,Man,0,0,0
1130,NA_English,NA_English,WAR,5,9,13.928571428571429,8.62473932153252,0,Woman,0,0,0
1130,NA_English,NA_English,WAR,6,9,13.928571428571429,8.62473932153252,1,Child,0,0,11.64
1130,NA_English,NA_English,WAR,6,9,13.928571428571429,8.62473932153252,0,Man,0,0,0
1130,NA_English,NA_English,WAR,6,9,13.928571428571429,8.62473932153252,1,Woman,0,24.33,0
1130,NA_English,NA_English,WAR,7,9,13.928571428571429,8.62473932153252,1,Child,0,0,2.28
1130,NA_English,NA_English,WAR,7,9,13.928571428571429,8.62473932153252,1,Man,0,3.15,14.67
1130,NA_English,NA_English,WAR,7,9,13.928571428571429,8.62473932153252,1,Woman,0,0,15.33
1130,NA_English,NA_English,WAR,8,9,13.928571428571429,8.62473932153252,1,Child,0,0,8.879999999999999
1130,NA_English,NA_English,WAR,8,9,13.928571428571429,8.62473932153252,1,Man,0,11.94,3.63
1130,NA_English,NA_English,WAR,8,9,13.928571428571429,8.62473932153252,1,Woman,0,5.970000000000001,2.85
1130,NA_English,NA_English,WAR,9,9,13.928571428571429,8.62473932153252,1,Child,0,0,2.61
1130,NA_English,NA_English,WAR,9,9,13.928571428571429,8.62473932153252,1,Man,0,0,20.25
1130,NA_English,NA_English,WAR,9,9,13.928571428571429,8.62473932153252,1,Woman,0,0,11.28
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-1,8,13.928571428571429,8.62473932153252,2,Child,1.704,2.3280000000000003,2.664
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-1,8,13.928571428571429,8.62473932153252,3,Man,0,0.744,21.936000000000003
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-1,8,13.928571428571429,8.62473932153252,3,Woman,0,0,15
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-2,8,13.928571428571429,8.62473932153252,1,Child,4.896,6.096,5.208
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-2,8,13.928571428571429,8.62473932153252,0,Man,0,0,0
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-2,8,13.928571428571429,8.62473932153252,2,Woman,0,1.536,16.944
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-3,8,13.928571428571429,8.62473932153252,1,Child,0,0,21.192
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-3,8,13.928571428571429,8.62473932153252,0,Man,0,0,0
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-3,8,13.928571428571429,8.62473932153252,4,Woman,0.8400000000000001,2.3040000000000003,31.632
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-4,8,13.928571428571429,8.62473932153252,2,Child,0,5.3999999999999995,0.096
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-4,8,13.928571428571429,8.62473932153252,0,Man,0,0,0
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-4,8,13.928571428571429,8.62473932153252,3,Woman,2.76,2.976,17.904
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-5,8,13.928571428571429,8.62473932153252,1,Child,0,0,0
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-5,8,13.928571428571429,8.62473932153252,1,Man,0,0,1.704
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-5,8,13.928571428571429,8.62473932153252,6,Woman,0,0,79.56
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-6,8,13.928571428571429,8.62473932153252,1,Child,0,8.52,1.824
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-6,8,13.928571428571429,8.62473932153252,1,Man,0,0,1.2
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-6,8,13.928571428571429,8.62473932153252,5,Woman,0.48,1.92,43.392
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-7,8,13.928571428571429,8.62473932153252,2,Child,0,0.5760000000000001,5.5920000000000005
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-7,8,13.928571428571429,8.62473932153252,0,Man,0,0,0
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-7,8,13.928571428571429,8.62473932153252,2,Woman,4.4399999999999995,6.936,11.088
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-8,8,13.928571428571429,8.62473932153252,4,Child,7.92,59.25599999999999,0
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-8,8,13.928571428571429,8.62473932153252,0,Man,0,0,0
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-8,8,13.928571428571429,8.62473932153252,2,Woman,0,10.296,0
